,population,gdp,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,gdp_per_capita
0,28189672.0,47399424000.0,8.365,30.866,0.297,0.176,0.251,1681.4464531549002
1,29249156.0,53326336000.0,11.838,41.525,0.405,0.222,0.282,1823.1752054657577
2,30466484.0,59166900224.0,10.035,-15.23,0.329,0.17,0.249,1942.0324387940532
3,31541216.0,62993698816.0,9.251,-7.82,0.293,0.147,0.276,1997.1867544992558
4,32716214.0,64346107904.0,9.17,-0.867,0.28,0.143,0.323,1966.7956660266375
5,33753500.0,62783393792.0,9.791,6.77,0.29,0.156,0.299,1860.0558102715274
6,34636212.0,64372215808.0,9.068,-7.389,0.262,0.141,0.303,1858.5235535571846
7,35643420.0,65169281024.0,9.868,8.827,0.277,0.151,0.334,1828.3677891739906
8,36686788.0,65996738560.0,10.818,9.628,0.295,0.164,0.319,1798.92386763322
9,37769496.0,73085706240.0,11.082,2.436,0.293,0.152,0.366,1935.0458433440574
10,38972236.0,71417708544.0,11.888,7.277,0.305,0.166,0.434,1832.5278678903617
11,2913402.0,26747820032.0,4.784,8.563,1.642,0.179,0.133,9180.957530749276
12,2900660.0,27431047168.0,5.315,11.096,1.832,0.194,0.169,9456.829538105121
13,2892191.0,27819812864.0,4.85,-8.742,1.677,0.174,0.157,9618.940403313612
14,2887019.0,28098562048.0,5.287,9.019,1.831,0.188,0.137,9732.725017743216
15,2884100.0,28597168128.0,6.0,13.469,2.08,0.21,0.176,9915.456512603585
16,2882482.0,29231665152.0,4.712,-21.46,1.635,0.161,0.138,10141.144039060782
17,2881064.0,30200692736.0,4.632,-1.701,1.608,0.153,0.116,10482.478950832054
18,2879361.0,31348975616.0,5.293,14.272,1.838,0.169,0.144,10887.476636656536
19,2877019.0,32609001472.0,4.895,-7.521,1.701,0.15,0.116,11334.301744965884
20,2873883.0,33289746432.0,4.827,-1.389,1.68,0.145,0.145,11583.542695370688
21,2866850.0,32130725888.0,5.019,3.977,1.751,0.156,0.157,11207.675981652335
22,35856348.0,450705784832.0,118.353,-0.423,3.301,0.263,0.27,12569.762677225244
23,36543548.0,482028650496.0,125.095,5.696,3.423,0.26,0.269,13190.526833792932
24,37260568.0,498417631232.0,135.674,8.457,3.641,0.272,0.267,13376.544105071076
25,38000628.0,512373325824.0,140.786,3.768,3.705,0.275,0.262,13483.285745277683
26,38760168.0,531843514368.0,151.283,7.456,3.903,0.284,0.258,13721.393425539332
27,39543148.0,551521746944.0,160.087,5.82,4.048,0.29,0.259,13947.340432886122
28,40339328.0,569170395136.0,158.482,-1.003,3.929,0.278,0.257,14109.565611405327
29,41136548.0,577138786304.0,165.09,4.17,4.013,0.286,0.265,14029.830269277822
30,41927008.0,584064434176.0,171.276,3.747,4.085,0.293,0.256,13930.505944426084
31,42705372.0,589905133568.0,178.577,4.263,4.182,0.303,0.257,13813.370682451847
32,43451668.0,559819915264.0,169.893,-4.863,3.91,0.303,0.262,12883.738209175308
33,71542.0,,0.517,0.0,7.221,,,
34,70587.0,,0.491,-4.965,6.956,,,
35,71035.0,,0.487,-0.746,6.86,,,
36,71385.0,,0.476,-2.256,6.673,,,
37,71644.0,,0.462,-3.077,6.444,,,
38,71766.0,,0.465,0.794,6.484,,,
39,72563.0,,0.469,0.787,6.463,,,
40,73853.0,,0.465,-0.781,6.301,,,
41,75034.0,,0.495,6.299,6.592,,,
42,76361.0,,0.484,-2.222,6.334,,,
43,77723.0,,0.374,-22.727,4.808,,,
44,23364196.0,126984183808.0,22.983,11.201,0.984,0.181,0.276,5434.990521736763
45,24259120.0,140477267968.0,23.397,1.8,0.964,0.167,0.268,5790.69924910714
46,25188298.0,152476844032.0,25.941,10.873,1.03,0.17,0.285,6053.479438428115
47,26147012.0,160032079872.0,25.71,-0.891,0.983,0.161,0.252,6120.472957751348
48,27128340.0,167750418432.0,24.768,-3.664,0.913,0.148,0.221,6183.58581586636
49,28127724.0,169333981184.0,26.03,5.098,0.925,0.154,0.222,6020.180700862964
50,29154742.0,164965171200.0,23.993,-7.828,0.823,0.145,0.225,5658.262083060107
51,30208634.0,164717707264.0,22.617,-5.734,0.749,0.137,0.222,5452.669831545511
52,31273538.0,162550038528.0,21.434,-5.229,0.685,0.132,0.204,5197.686252447676
53,32353592.0,161408925696.0,19.222,-10.321,0.594,0.119,0.162,4988.902799293506
54,33428490.0,152308695040.0,16.765,-12.784,0.502,0.11,0.142,4556.254112584804
55,13192.0,,0.132,5.882,9.999,,,
56,13363.0,,0.125,-5.556,9.322,,,
57,13479.0,,0.121,-2.941,8.97,,,
58,13727.0,,0.117,-3.03,8.541,,,
59,14143.0,,0.121,3.125,8.549,,,
60,14554.0,,0.139,15.152,9.567,,,
61,14842.0,,0.139,0.0,9.381,,,
62,15040.0,,0.128,-7.895,8.527,,,
63,15201.0,,0.132,2.857,8.677,,,
64,15408.0,,0.147,11.111,9.512,,,
65,15612.0,,0.143,-2.5,9.153,,,
