,Country,Code,Year,Deforestation
10,Argentina,ARG,2010,242400.0
11,Argentina,ARG,2015,134800.0
22,Australia,AUS,2010,416840.0
56,Brazil,BRA,2010,1867800.0
57,Brazil,BRA,2015,1695700.0
91,China,CHN,2010,329970.0
92,China,CHN,2015,133200.0
168,Germany,DEU,2010,7000.0
169,Germany,DEU,2015,7000.0
279,Mexico,MEX,2010,211610.0
280,Mexico,MEX,2015,165820.0
352,Papua New Guinea,PNG,2010,30900.0
353,Papua New Guinea,PNG,2015,33530.0
366,Portugal,PRT,2010,39600.0
415,Sudan,SDN,2015,264000.0
466,United States,USA,2010,0.0
