,Country,Code,Year,Forest cover
330,Argentina,ARG,2010,11.040344357599874
331,Argentina,ARG,2011,10.958712897697582
332,Argentina,ARG,2012,10.877081437795292
333,Argentina,ARG,2013,10.795449977893002
334,Argentina,ARG,2014,10.713818517990711
335,Argentina,ARG,2015,10.63218705808842
336,Argentina,ARG,2016,10.593892622109191
337,Argentina,ARG,2017,10.55559818612996
338,Argentina,ARG,2018,10.51730375015073
339,Argentina,ARG,2019,10.4790093141715
340,Argentina,ARG,2020,10.440714878192267
452,Australia,AUS,2010,16.841622876695588
453,Australia,AUS,2011,16.9338847272888
454,Australia,AUS,2012,17.026146577882013
455,Australia,AUS,2013,17.118408428475227
456,Australia,AUS,2014,17.210670279068438
457,Australia,AUS,2015,17.30293212966165
458,Australia,AUS,2016,17.326608615162208
459,Australia,AUS,2017,17.350285100662763
460,Australia,AUS,2018,17.37396158616332
461,Australia,AUS,2019,17.39763807166388
462,Australia,AUS,2020,17.42131455716444
942,Brazil,BRA,2010,61.20748156886581
943,Brazil,BRA,2011,61.023328156743005
944,Brazil,BRA,2012,60.839174744620216
945,Brazil,BRA,2013,60.65502133249742
946,Brazil,BRA,2014,60.47086792037463
947,Brazil,BRA,2015,60.28671450825184
948,Brazil,BRA,2016,60.11286721686883
949,Brazil,BRA,2017,59.939019925485816
950,Brazil,BRA,2018,59.7651726341028
951,Brazil,BRA,2019,59.59132534271979
952,Brazil,BRA,2020,59.41747805133678
1484,China,CHN,2010,21.36833113021545
1485,China,CHN,2011,21.574629668488456
1486,China,CHN,2012,21.78092820676146
1487,China,CHN,2013,21.987226745034462
1488,China,CHN,2014,22.19352528330747
1489,China,CHN,2015,22.399823821580476
1490,China,CHN,2016,22.60612363805241
1491,China,CHN,2017,22.812423454524343
1492,China,CHN,2018,23.018723270996283
1493,China,CHN,2019,23.225023087468216
1494,China,CHN,2020,23.43132290394016
2163,Egypt,EGY,2010,0.0659400271234115
2164,Egypt,EGY,2011,0.0624802852981063
2165,Egypt,EGY,2012,0.0590205434728012
2166,Egypt,EGY,2013,0.0555608016474961
2167,Egypt,EGY,2014,0.0521010598221909
2168,Egypt,EGY,2015,0.0486413179968858
2169,Egypt,EGY,2016,0.0479501732884625
2170,Egypt,EGY,2017,0.0472590285800391
2171,Egypt,EGY,2018,0.0465678838716158
2172,Egypt,EGY,2019,0.0458767391631925
2173,Egypt,EGY,2020,0.0451855944547692
2755,Germany,DEU,2010,32.65592351947792
2756,Germany,DEU,2011,32.66164810945416
2757,Germany,DEU,2012,32.6673726994304
2758,Germany,DEU,2013,32.67309728940664
2759,Germany,DEU,2014,32.678821879382895
2760,Germany,DEU,2015,32.684546469359134
2761,Germany,DEU,2016,32.684546469359134
2762,Germany,DEU,2017,32.684546469359134
2763,Germany,DEU,2018,32.684546469359134
2764,Germany,DEU,2019,32.684546469359134
2765,Germany,DEU,2020,32.684546469359134
3316,Iran,IRN,2010,6.564490778260762
3317,Iran,IRN,2011,6.564490778260762
3318,Iran,IRN,2012,6.564490778260762
3319,Iran,IRN,2013,6.564490778260762
3320,Iran,IRN,2014,6.564490778260762
3321,Iran,IRN,2015,6.564490778260762
3322,Iran,IRN,2016,6.571844839018641
3323,Iran,IRN,2017,6.579198899776519
3324,Iran,IRN,2018,6.5865529605343935
3325,Iran,IRN,2019,6.593907021292271
3326,Iran,IRN,2020,6.601261082050149
3543,Japan,JPN,2010,68.49382716049382
3544,Japan,JPN,2011,68.48175582990397
3545,Japan,JPN,2012,68.46968449931413
3546,Japan,JPN,2013,68.45761316872428
3547,Japan,JPN,2014,68.44554183813443
3548,Japan,JPN,2015,68.43347050754458
3549,Japan,JPN,2016,68.42853223593964
3550,Japan,JPN,2017,68.4235939643347
3551,Japan,JPN,2018,68.41865569272976
3552,Japan,JPN,2019,68.41371742112483
3553,Japan,JPN,2020,68.40877914951989
4454,Mexico,MEX,2010,34.436744772242086
4455,Mexico,MEX,2011,34.37373903649785
4456,Mexico,MEX,2012,34.31073330075362
4457,Mexico,MEX,2013,34.247727565009384
4458,Mexico,MEX,2014,34.18472182926516
4459,Mexico,MEX,2015,34.121716093520924
4460,Mexico,MEX,2016,34.0559911520358
4461,Mexico,MEX,2017,33.99026621055068
4462,Mexico,MEX,2018,33.924541269065564
4463,Mexico,MEX,2019,33.858816327580435
4464,Mexico,MEX,2020,33.79309138609532
5394,Oman,OMN,2010,0.0096930533117932
5395,Oman,OMN,2011,0.0096930533117932
5396,Oman,OMN,2012,0.0096930533117932
5397,Oman,OMN,2013,0.0096930533117932
5398,Oman,OMN,2014,0.0096930533117932
5399,Oman,OMN,2015,0.0096930533117932
5400,Oman,OMN,2016,0.0093699515347334
5401,Oman,OMN,2017,0.0090468497576736
5402,Oman,OMN,2018,0.0087237479806138
5403,Oman,OMN,2019,0.0084006462035541
5404,Oman,OMN,2020,0.0080775444264943
5548,Papua New Guinea,PNG,2010,79.88977896038512
5549,Papua New Guinea,PNG,2011,79.82156163052599
5550,Papua New Guinea,PNG,2012,79.75334430066687
5551,Papua New Guinea,PNG,2013,79.68512697080776
5552,Papua New Guinea,PNG,2014,79.61690986176744
5553,Papua New Guinea,PNG,2015,79.5486925319083
5554,Papua New Guinea,PNG,2016,79.47420549397164
5555,Papua New Guinea,PNG,2017,79.39971845603498
5556,Papua New Guinea,PNG,2018,79.3252316389171
5557,Papua New Guinea,PNG,2019,79.25074460098044
5558,Papua New Guinea,PNG,2020,79.17625756304378
5740,Portugal,PRT,2010,35.50001309963583
5741,Portugal,PRT,2011,35.63100945793708
5742,Portugal,PRT,2012,35.762005816238315
5743,Portugal,PRT,2013,35.89300217453955
5744,Portugal,PRT,2014,36.02399853284079
5745,Portugal,PRT,2015,36.15499489114203
5746,Portugal,PRT,2016,36.15499489114203
5747,Portugal,PRT,2017,36.15499489114203
5748,Portugal,PRT,2018,36.15499489114203
5749,Portugal,PRT,2019,36.15499489114203
5750,Portugal,PRT,2020,36.15499489114203
6806,Sudan,SDN,2012,10.670699948207288
6807,Sudan,SDN,2013,10.576473077354647
6808,Sudan,SDN,2014,10.48224620650201
6809,Sudan,SDN,2015,10.388019335649371
6810,Sudan,SDN,2016,10.29604852802384
6811,Sudan,SDN,2017,10.204077720398312
6812,Sudan,SDN,2018,10.11210691277278
6813,Sudan,SDN,2019,10.020136105147252
6814,Sudan,SDN,2020,9.92816529752172
7465,United States,USA,2010,33.7494069366007
7466,United States,USA,2011,33.779470058224064
7467,United States,USA,2012,33.809533179847435
7468,United States,USA,2013,33.8395963014708
7469,United States,USA,2014,33.86965942309416
7470,United States,USA,2015,33.89972254471753
7471,United States,USA,2016,33.89316331818152
7472,United States,USA,2017,33.88660409164551
7473,United States,USA,2018,33.880044865109504
7474,United States,USA,2019,33.8734856385735
7475,United States,USA,2020,33.86692641203749
